category,glass_name,nasal_engraving,glass_index,material,glass_supplier_id,glass_supplier_name,image_engraving
Uncategorized,Innovator Plus,,1.5 - 1.56 - 1.6 - 1.67 - 1.74,ORG,1488,HEPHILENS,
Uncategorized,Innovator Plus,,1.53,TVX,1488,HEPHILENS,
Uncategorized,Innovator Plus,,1.59,POLY,1488,HEPHILENS,
Uncategorized,Innovator,,1.5 - 1.56 - 1.6 - 1.67 - 1.74,ORG,1488,HEPHILENS,
Uncategorized,Innovator,,1.53,TVX,1488,HEPHILENS,
Uncategorized,Innovator,,1.59,POLY,1488,HEPHILENS,
Uncategorized,Innovator Computer,,1.5 - 1.56 - 1.6 - 1.67 - 1.74,ORG,1488,HEPHILENS,
Uncategorized,Innovator Computer,,1.53,TVX,1488,HEPHILENS,
Uncategorized,Innovator Computer,,1.59,POLY,1488,HEPHILENS,
Uncategorized,Innovator Desktop,,1.5 - 1.56 - 1.6 - 1.67 - 1.74,ORG,1488,HEPHILENS,
Uncategorized,Innovator Desktop,,1.53,TVX,1488,HEPHILENS,
Uncategorized,Innovator Desktop,,1.59,POLY,1488,HEPHILENS,
Uncategorized,Innovator Office,,1.5 - 1.56 - 1.6 - 1.67 - 1.74,ORG,1488,HEPHILENS,
Uncategorized,Innovator Office,,1.59,POLY,1488,HEPHILENS,
Uncategorized,Innovator Office,,1.53,TVX,1488,HEPHILENS,
Uncategorized,Innovator Home,,1.5 - 1.56 - 1.6 - 1.67 - 1.74,ORG,1488,HEPHILENS,
Uncategorized,Innovator Home,,1.59,POLY,1488,HEPHILENS,
Uncategorized,Innovator Home,,1.53,TVX,1488,HEPHILENS,
Uncategorized,Camber Computer,,1.5 - 1.56 - 1.6 - 1.67 - 1.74,ORG,1488,HEPHILENS,
Uncategorized,Camber Computer,,1.59,POLY,1488,HEPHILENS,
Uncategorized,Camber Computer,,1.53,TVX,1488,HEPHILENS,
Uncategorized,Camber Desktop,,1.59,POLY,1488,HEPHILENS,
